cod_id,http_status,stage_failed,reject_detail,n_blocks,n_sites,n_sites_primitive,volume_a3,is_ordered,formula_declared,formula_parsed,max_z,min_nn_dist_a,contains_carbon,n_parser_warnings,survived
4025667,200,,,1,148,148,1471.9506,True,C18 H14 N2 O2 S,H56 C72 S4 N8 O8,16,0.9205,True,0,True
4025699,200,,,1,132,132,1227.5627,True,C12 H15 N5 O,H60 C48 N20 O4,8,0.9495,True,0,True
4025828,200,size_within_limit,288 sites > 150,1,288,,2497.2144,True,C30 H38 N2 O2,H152 C120 N8 O8,8,0.9189,True,0,False
4026178,200,,,1,90,90,877.0428,True,C20 H21 F N2 O,H42 C40 N4 O2 F2,9,0.9395,True,0,True
4026240,200,size_within_limit,376 sites > 150,1,376,,3136.6097,True,C19 H26 O2,H208 C152 O16,8,0.9495,True,1,False
4026331,200,size_within_limit,632 sites > 150,1,632,,6121.022,True,C68 H82 N2 O6,H328 C272 N8 O24,8,,True,1,False
4026692,200,size_within_limit,156 sites > 150,1,156,,1751.5411,True,C21 H14 Cl2 N2,H56 C84 N8 Cl8,17,0.8634,True,0,False
4026773,200,size_within_limit,280 sites > 150,1,280,,2650.0892,True,C17 H15 N O2,H120 C136 N8 O16,8,0.8195,True,1,False
4027028,200,size_within_limit,188 sites > 150,1,188,,1613.3185,True,C15 H26 O6,H104 C60 O24,8,0.8401,True,0,False
4027036,200,ordered,partial or mixed site occupancy,1,196,,1625.0912,False,,H84 C68 Br4 O16,35,,True,0,False
4027051,200,ordered,partial or mixed site occupancy,1,192,,1923.4,False,,Ni0.1 H70 C104 N10 Cl4 O2,28,,True,0,False
4027149,200,size_within_limit,200 sites > 150,1,200,,1819.0562,True,C19 H26 N4 O,H104 C76 N16 O4,8,0.8812,True,0,False
4027196,200,ordered,partial or mixed site occupancy,1,356,,2078.5536,False,,H100 C92 S4 N4 O16,16,,True,0,False
4027308,200,,,1,80,80,935.9746,True,C18 H4 F14 N4,H8 C36 N8 F28,9,0.9489,True,0,True
4027376,200,size_within_limit,156 sites > 150,1,156,,1296.5017,True,C15 H20 O4,H80 C60 O16,8,0.8399,True,0,False
4027605,200,,,1,108,108,1206.6303,True,C13 H11 F N O S,H40 C52 S4 N4 O4 F4,16,0.8599,True,1,True
4027737,200,size_within_limit,160 sites > 150,1,160,,1616.267,True,C16 H19 N O3 Si,Si4 H76 C64 N4 O12,14,0.9295,True,0,False
4027742,200,,,1,148,148,1475.187,True,C18 H16 Cl N O,H64 C72 N4 Cl4 O4,17,0.8488,True,0,True
4027873,200,,,1,118,118,1076.3089,True,C25 H29 N O3 S,H58 C50 S2 N2 O6,16,0.8279,True,0,True
4027881,200,size_within_limit,224 sites > 150,1,224,,2360.7436,True,C23 H23 N3 O6 S,H92 C92 S4 N12 O24,16,0.9294,True,0,False
4027962,200,,,1,128,128,1039.5046,True,C11 H19 N O,H76 C44 N4 O4,8,0.8673,True,0,True
4028323,200,ordered,partial or mixed site occupancy,1,230,,2280.2754,False,,H94 C108 N4 Cl4 O14,17,,True,0,False
4028391,200,size_within_limit,180 sites > 150,1,180,,1753.7111,True,C24 H19 O P,P4 H76 C96 O4,15,0.9493,True,0,False
4028425,200,size_within_limit,168 sites > 150,1,168,,1639.8511,True,C36 H36 B F4 Ir N4 O2,B2 H72 Ir2 C72 N8 O4 F8,77,0.9289,True,0,False
4028491,200,size_within_limit,232 sites > 150,1,232,,2471.234,True,C24 H27 N O4 S2,H108 C96 S8 N4 O16,16,0.9288,True,0,False
4028828,200,,,1,102,102,1034.2999,True,C16 H26 N4 O4 Si,Si2 H52 C32 N8 O8,14,0.8597,True,0,True
4028842,200,size_within_limit,244 sites > 150,1,244,,2370.6909,True,C27 H32 N2 O3 S,H116 C104 S4 N4 O16,16,0.9496,True,1,False
