cod_id,formula_reduced,formula_full,n_sites,n_sites_primitive,volume_a3,spacegroup_symbol,spacegroup_number,crystal_system,n_elements,elements,contains_carbon
7218464,H7C8ClO3,H42 C48 Cl6 O18,114,114,1234.6757,P-1,2,triclinic,4,C Cl H O,True
7218745,H6C13S12,H12 C26 S24,62,62,951.966,P-1,2,triclinic,3,C H S,True
7218777,H12C9N2O5,H48 C36 N8 O20,112,112,1043.7648,P-1,2,triclinic,4,C H N O,True
7218873,H24C22SN2O,H48 C44 S2 N4 O2,100,100,1036.1693,P2_1/m,11,monoclinic,5,C H N O S,True
7218974,H12C15NO,H48 C60 N4 O4,116,116,1144.0461,P2_1/c,14,monoclinic,4,C H N O,True
7218977,H15C21SN4Cl3,H30 C42 S2 N8 Cl6,88,88,1055.3276,P-1,2,triclinic,5,C Cl H N S,True
7219099,H7C3NO2,H28 C12 N4 O8,52,52,459.6187,P2_12_12_1,19,orthorhombic,4,C H N O,True
7219131,BH16C11NO4,B2 H32 C22 N2 O8,66,66,620.012,P2_1,4,monoclinic,5,B C H N O,True
7219194,H10C9N3(ClO2)2,H40 C36 N12 Cl8 O16,112,112,1197.8709,P-1,2,triclinic,5,C Cl H N O,True
7219224,CoH14C12N2(O4F)2,Co2 H28 C24 N4 O16 F4,78,39,754.6315,C2/m,12,monoclinic,6,C Co F H N O,True
7219319,H5C2NO2,H15 C6 N3 O6,30,30,232.8002,P3_1,144,trigonal,4,C H N O,True
7219456,U2H26C22(NO6)3,U4 H52 C44 N6 O36,142,142,1487.3453,P-1,2,triclinic,5,C H N O U,True
7219553,H20C22NClO3,H40 C44 N2 Cl2 O6,94,94,926.9368,P-1,2,triclinic,5,C Cl H N O,True
